name,location,status,material,manufacturer,length_in_m,height_in_m,speed_in_kmh,capacity,g_force,opening_date,closing_year,latitude,longitude,duration_in_seconds
Switchback Railway,Coney Island,closed,wood,LaMarcus Adna Thompson,180.0,15.0,9.7,1600,2.9,1884-06-16,,40.574,-73.978,60
Flip Flap Railway,Sea Lion Park,closed,wood,Lina Beecher,,,,,12.0,1895-01-01,1902,40.578,-73.979,
Switchback Railway (Euclid Beach Park),"Cleveland, Ohio, United States",closed,other,,,,,,,,,41.58,-81.57,
Loop the Loop (Coney Island),Other,closed,steel,Edwin Prescott,,,,,,1901-01-01,1910,40.5745,-73.978,
Loop the Loop (Young's Pier),Other,closed,steel,Edwin Prescott,,,,,,1901-01-01,1912,39.3538,-74.4342,
Cannon Coaster,Coney Island,closed,wood,George Francis Meyer,,12.0,,,,1902-01-01,1907,40.575,-73.98,
Leap-The-Dips,Lakemont Park,operating,wood,Federal Construction Company,443.0,12.0,16.0,,,1902-01-01,,,,60
Figure Eight (Euclid Beach Park),"Cleveland, Ohio, United States",closed,other,,,,,,,,,41.58,-81.57,
Drop the Dip,Coney Island,closed,other,Arthur Jarvis,,18.0,,,,1907-06-06,1930s,40.5744,-73.9786,90
Scenic Railway (Euclid Beach Park),"Cleveland, Ohio, United States",closed,other,,,,,,,,,41.58,-81.57,
Loop the Loop (Olentangy Park),Olentangy Park,closed,steel,Lina Beecher,,,,,,1908-01-01,,40.0204,-83.0143,
Aero Dips,"Cleveland, Ohio, United States",closed,other,,,,,,,,,41.58,-81.57,
Backety-Back Scenic Railway,Crystal Beach,closed,wood,,,,16.0,,,1909-01-01,1926,42.8675,-79.0592,
Racer (1910 roller coaster),Kennywood,operating,wood,Charlie Mach,1400.0,22.1,64.0,1400,,1927-01-01,,40.3869,-79.8619,92
Derby Racer,Revere Beach,closed,wood,Fred W. Pearce,,,,,,1911-01-01,1936,42.42,-70.986,
The Great Scenic Railway,Luna Park Melbourne,operating,wood,LaMarcus Thompson,,,59.54558,,,1912-12-01,,,,
Zippin Pippin,Other,unknown,wood,The Gravity Group,873.0,21.0,64.0,,,,2005,,,118
Racing Coaster,"Cleveland, Ohio, United States",closed,other,,,,,,,,,41.58,-81.57,
Whirl Pool Dips,Tolchester Beach Park,closed,wood,,,,,,,1913-01-01,1959,39.214,-76.231,
Green Dragon (Lake Compounce),Lake Compounce,closed,wood,,,,,,,1914-01-01,1926,41.642,-72.923,
The Wild One (roller coaster),Six Flags America,unknown,wood,Dinn Corporation,1200.0,30.0,85.0,,,,1984,38.9092,-76.7725,112
Jack Rabbit (Clementon Park),Clementon Park,closed,wood,Philadelphia Toboggan Coasters,420.0,15.0,,,,1919-01-01,2002,39.8041,-74.9844,
Jack Rabbit (Kennywood),Kennywood,operating,wood,Harry C. Baker,650.0,12.0,72.0,,,1920-01-01,,40.3867,-79.8628,96
Jack Rabbit (Seabreeze),Seabreeze Amusement Park,operating,wood,Harry C. Baker,650.0,23.0,68.0,,,1920-01-01,,43.2316,-77.5432,
Scenic Railway (roller coaster),Dreamland Margate,operating,wood,,910.0,12.0,56.0,,,1920-07-03,,51.3853,1.3775,
Roller Coaster (Lagoon),Lagoon Amusement Park,operating,wood,,,,72.0,,,1921-07-15,,40.9849,-111.8951,
Big Dipper (Blackpool Pleasure Beach),Blackpool Pleasure Beach,operating,wood,William Strickler,1000.0,20.0,64.0,,3.7,1923-08-23,,53.7892,-3.0569,148
Wild Cat (Hersheypark),Hersheypark,closed,wood,Philadelphia Toboggan Coasters,710.0,,,,,1923-06-16,"September 9, 1945",40.2882,-76.6535,
The Bobs (roller coaster),Riverview Park,closed,wood,Prior and Church,986.0,19.74,80.0,,,1924-01-01,1967,41.9407,-87.6924,
Giant Dipper,Santa Cruz Beach Boardwalk,operating,wood,Arthur Looff,800.0,21.0,89.0,,,1924-05-17,,36.9647,-122.0153,112
Pippin (roller coaster),Kennywood,operating,wood,,990.0,21.0,89.0,,,1968-01-01,,40.3889,-79.865,101
The Thriller (roller coaster),"Cleveland, Ohio, United States",closed,other,,,,,,,,,41.58,-81.57,
Thunderhawk (Dorney Park),Dorney Park & Wildwater Kingdom,operating,wood,Philadelphia Toboggan Coasters,843.0,24.0,72.0,,,1924-03-30,,40.5798,-75.5355,78
Big Dipper (Geauga Lake),Geauga Lake,closed,wood,,820.0,20.0,51.0,,,1925-01-01,"September 16, 2007",41.3491,-81.378,105
Cyclone (Revere Beach),Revere Beach,closed,wood,Traver Engineering,1100.0,30.0,72.0,1400,,1925-01-01,1969,42.42,-70.986,
Giant Dipper (Belmont Park),Other,operating,wood,"Frank Prior, Fredrick Church",790.0,21.0,77.0,,,1925-07-04,,,,105
Jazz Railway,Rocky Glen Park,closed,wood,Traver Engineering,370.0,7.9,,,,1925-01-01,1927,41.3533,-75.7059,90
Thunderbolt (1925 roller coaster),Coney Island,closed,wood,,,26.0,,,,1925-01-01,1982,40.5739,-73.9825,77
